id,legalName,country,source
company-4e14741b0272676ede373d8e,'Petite Amélie' Nederland B.V.,Netherlands,official-sponsor-register
company-763c12bb2613a729da5b40be,073 Meeting Company B.V.,Netherlands,official-sponsor-register
company-8dd33fa7a07f17a9c44c2efd,1 Cube B.V.,Netherlands,official-sponsor-register
company-1a357e29553f0804a9352b3b,100 Grams B.V.,Netherlands,official-sponsor-register
company-ab91bb242fdcda6a9d1657fd,10X Genomics B.V.,Netherlands,official-sponsor-register
company-f9b1fafb72430d3d4e67ddb4,123ATEX.eu Techniek B.V.,Netherlands,official-sponsor-register
company-00aca57f665238ed745edf0f,12Build Sales B.V.,Netherlands,official-sponsor-register
company-c2bef898c77e5a4f06778fa6,180 Amsterdam BV,Netherlands,official-sponsor-register
company-a9038a286a723ebd75ef5130,2 Getthere Holding B.V.,Netherlands,official-sponsor-register
company-996f09810248a688dc122b34,2-B Energy Holding,Netherlands,official-sponsor-register
company-7338d78957fd43961bb64b01,20Face B.V.,Netherlands,official-sponsor-register
company-b1db1c46b581a8047c2337a5,21 Markets B.V.,Netherlands,official-sponsor-register
company-b27e84bca7aa83ed6cf843fa,21SanSec B.V.,Netherlands,official-sponsor-register
company-f140fb8fbef76df1a4894b6a,247HAIR,Netherlands,official-sponsor-register
company-bb9d2ded22b4406afa36dee3,247TailorSteel B.V.,Netherlands,official-sponsor-register
company-6b524a3ed5661c2193dfd814,2525 Ventures B.V.,Netherlands,official-sponsor-register
company-97c07b40e0322222d009484e,2Care4Kids Group B.V.,Netherlands,official-sponsor-register
company-60be37d045647e693d7a4748,2Care4Kids Holding B.V.,Netherlands,official-sponsor-register
company-3a47e033f99c423f598b5693,2Connect B.V.,Netherlands,official-sponsor-register
company-5a08a0fda9e56a0f559894ea,2Impact B.V.,Netherlands,official-sponsor-register
company-baf8e5928d3ed58173ce250a,2M Engineering Limited,Netherlands,official-sponsor-register
company-20a8fbf1c1fea959cb32e2c7,360KAS B.V.,Netherlands,official-sponsor-register
company-d72f644f338d8d6f041dbd1f,361° Europe B.V.,Netherlands,official-sponsor-register
company-0f0b537dd91cf264799e46a9,365Werk Contracting B.V.,Netherlands,official-sponsor-register
